marketing_season,season_type,crop,msp_rs_qtl,cost_a2fl_rs_qtl,margin_over_a2fl_pct_pib,margin_over_a2fl_pct_derived,c2_rs_qtl,margin_over_c2_pct_derived,source_msp_cost,source_c2,note
2025-26,kharif,Urad,7800,5114,53,52.5,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Groundnut,7263,4842,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Sunflower Seed,7721,5147,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Soybean (Yellow),5328,3552,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Sesamum,9846,6564,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Nigerseed,9537,6358,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Cotton (Medium Staple),7710,5140,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2026-27,kharif,Paddy (Common),2441,1627,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Paddy (Grade A),2461,,,,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Jowar (Hybrid),4023,2682,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Bajra,2900,1858,56,56.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Ragi,5205,3470,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Maize,2410,1544,56,56.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Tur (Arhar),8450,5496,54,53.7,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2026-27,kharif,Moong,8780,5438,61,61.5,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2260618,,C2 for KMS 2026-27 not located in public sources at collection date
2022-23,rabi,Wheat,2015,1008,100,99.9,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2022-23,rabi,Barley,1635,1019,60,60.5,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2022-23,rabi,Gram,5230,3004,74,74.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2022-23,rabi,Lentil (Masur),5500,3079,79,78.6,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2022-23,rabi,Rapeseed & Mustard,5050,2523,100,100.2,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2022-23,rabi,Safflower,5441,3627,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1753109,,C2 for RMS 2022-23 not collected
2023-24,rabi,Wheat,2125,1065,100,99.5,1575,34.9,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,https://farmingcosmos.com/barley-has-lowest-projected-cost-of-production-in-india-for-rms-2023-24/,
2023-24,rabi,Barley,1735,1082,60,60.4,1487,16.7,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,https://farmingcosmos.com/barley-has-lowest-projected-cost-of-production-in-india-for-rms-2023-24/,
2023-24,rabi,Gram,5335,3206,66,66.4,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,,
2023-24,rabi,Lentil (Masur),6000,3239,85,85.2,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,,
2023-24,rabi,Rapeseed & Mustard,5450,2670,104,104.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,,
2023-24,rabi,Safflower,5650,3765,50,50.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1868761,,
2024-25,rabi,Wheat,2275,1128,102,101.7,1652,37.7,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2024-25,rabi,Barley,1850,1158,60,59.8,1614,14.6,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2024-25,rabi,Gram,5440,3400,60,60.0,4547,19.6,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2024-25,rabi,Lentil (Masur),6425,3405,89,88.7,4890,31.4,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2024-25,rabi,Rapeseed & Mustard,5650,2855,98,97.9,4068,38.9,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2024-25,rabi,Safflower,5800,3807,52,52.4,5414,7.1,https://pib.gov.in/PressReleasePage.aspx?PRID=1968731,https://farmingcosmos.com/msp-of-rabi-crops-in-2024-25-rms-versus-last-seasons-comprehensive-cost-of-production/,
2025-26,rabi,Wheat,2425,1182,105,105.2,1720,41.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2025-26,rabi,Barley,1980,1239,60,59.8,1737,14.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2025-26,rabi,Gram,5650,3527,60,60.2,4662,21.2,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2025-26,rabi,Lentil (Masur),6700,3537,89,89.4,5061,32.4,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2025-26,rabi,Rapeseed & Mustard,5950,3011,98,97.6,4294,38.6,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2025-26,rabi,Safflower,5940,3960,50,50.0,5550,7.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2065310,https://www.farmingcosmos.com/msp-of-crops-in-2025-26-rabi-marketing-season-versus-previous-projected-cop/,
2026-27,rabi,Wheat,2585,1239,109,108.6,1804,43.3,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
2026-27,rabi,Barley,2150,1361,58,58.0,1862,15.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
2026-27,rabi,Gram,5875,3699,59,58.8,4875,20.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
2026-27,rabi,Lentil (Masur),7000,3705,89,88.9,5243,33.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
2026-27,rabi,Rapeseed & Mustard,6200,3210,93,93.1,4558,36.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
2026-27,rabi,Safflower,6540,4360,50,50.0,5738,14.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2173567,https://www.farmingcosmos.com/wheat-msp-for-2026-27-rabi-marketing-season-hiked-by-rs-160-per-quintal/,
