sno,district_division_mandal_godown_category,apscscl_reserved_mt,total_capacity_mt,latlong
45,"Guntur Guntur Sattenapalle SWC, Sattenapalli(Vennadevi) Others",5000,5000,"16.41004,80.11171"
46,"Guntur Guntur Sattenapalle CWC, Satannapalli CWC",-,5000,"16.41165,80.15018"
47,"Guntur Guntur Thadepalle SWC, Tadepalli SWC, Own",-,14100,"16.473927, 80.610927"
48,"Guntur Gurajala Dachepalle SWC NADIKUDI SWC, Own",12100,14000,"16.60375,79.72133"
49,"Guntur Gurajala Dachepalle SWC, Nadikudi (IG) SWC, IG",-,45000,"16.586048, 79.704983"
50,"Guntur Gurajala Piduguralla SWC,PIDUGURALLA SWC, Own",5000,20000,"16.465532, 79.920196"
51,"Guntur Narsaraopet Narasaraopeta SWC,NARASARAOPET SWC, Own",5000,19650,"16.21889,80.04648"
52,"Guntur Narsaraopet Narsaraopet SWC, Edlapadu SWC, Own",-,10000,"16.166707, 80.231960"
53,"Guntur Narsaraopet Narsaraopet SWC, Chilakaluripet (AMC) SWC, HG",-,7000,"16.10821,80.17246"
54,"Guntur Tenali Bapatla SWC,BAPATLA SWC, Own",7300,14800,"15.932661, 80.521842"
55,"Guntur Tenali Chebrole CWC,VADLAMUDI CWC",19000,35000,"16.242072, 80.563127"
56,Guntur Tenali Duggirala CWC Duggirala CWC,-,10100,"16.326137, 80.632120"
57,Guntur Tenali Karlapalem IG KARLAPALEM CSC IG,40000,40000,"15.93309,80.52106"
58,"Guntur Tenali Repalle SWC,REPALLE SWC, Own",6900,8350,"16.011249, 80.818308"
59,"Guntur Tenali Tenali SWC TENALI OWN SWC, Own",2000,21980,"16.24533,80.62932"
60,Guntur Tenali Tenali AMC TENALI AMC,5000,5000,"16.23126,80.63429"
61,"Guntur Tenali Tenali SWC(SYG),TENALI SWC, Own",10000,10000,"16.24533,80.62932"
62,"Kadapa Jammalamadugu Kadapa SWC, Kadapa SWC, Own",-,14000,"14.463966, 78.823784"
63,"Kadapa Jammalamadugu Proddutur SWC, Proddatur SWC, Own",9500,10300,"14.756462, 78.555104"
64,"Kadapa Kadapa Kadapa SWC(IG), Kadapa SWC, IG",10000,10000,"14.4286280634, 78.8203833212"
65,"Kadapa Kadapa Kadapa CWC, Kadapa CWC",15000,25000,"14.4502298704, 78.8396897665"
66,"Kadapa Sarrveyreddipalli Kadapa SWC, Sarrveyreddipalli SWC, Own - 10,000 67 Krishna Bandar Bantumilli AMC -BANTUMILLI AMC",2500,2500,"16.36298,81.27215"
68,"Krishna Bandar Challapalli SWC, Kothamajeru SWC, New",-,9500,"16.13962,81.0168071"
69,"Krishna Bandar Machilipatnam SWC -MACHILIPATNAM IG SWC, IG",15000,40000,"16.17373,81.16998"
70,Krishna Bandar Machilipatnam CWC -MACHILIPATNAM CWC,20000,49030,"16.1991610,81.1599390"
71,Krishna Gudivada Gudivada IG -RAMANAPUDI CSC IG,2500,2500,"16.42266,80.99949"
72,Krishna Gudivada Gudivada CWC -GUDIVADA CWC,10500,40000,"16.42266,80.99949"
73,Krishna Gudivada Gudivada IG -GUDIVADA CSC IG,20000,20000,"16.42266,80.99949"
74,"Krishna Gudivada Gudivada SWC, Gudivada SWC, Own",-,10300,"16.42061,81.00691"
75,"Krishna Gudivada Gudlavalleru SWC, Gudlavalleru (AMC) SWC, HG",-,5000,"16.356750, 81.046647"
76,Krishna Gudivada Kaikalur AMC KAIKALURU AMC,2000,2000,"16.54692,81.20353"
77,Krishna Gudivada Kaikalur CWC -KAIKALURU CWC,20280,20280,"16.56109,81.22967"
78,Krishna Gudivada Mandavalli AMC - MANDAVALLI AMC,2000,2000,"16.4281837,81.0013545"
79,Krishna Nuzvid Vuyyuru AMC -VUYYURU AMC,2000,2000,"16.37314,80.84586"
80,"Krishna Vijayawada Jaggayyapeta SWC -Jaggayyapet SWC, Own",2500,9150,"16.900640, 80.101370"
81,"Krishna Vijayawada Jaggayyapeta SWC, Jaggayyapeta(IG) SWC, IG",-,50000,"16.90064,80.10137"
82,Krishna Vijayawada Kankipadu IG -UPPALURU CSC IG,30000,30000,"16.49348,80.77970"
83,Krishna Vijayawada Vijayawada Urban-II CWC -BHAVANIPURAM CWC,5000,15000,"16.52777,80.59234"
84,Krishna Vijayawada Vijayawada Rural CWC -NIDAMANURU CWC,17500,45000,"16.52025,80.70375"
85,Krishna Vijayawada Vijayawada Rural CWC -RAYANAPADU CWC,35000,62910,"16.58063,80.55756"
86,"Kurnool Adoni Adoni CWC, Adoni CWC",15000,25520,"15.6188690517, 77.266813011"
87,"Kurnool Kurnool Atmakur SWC, Atmakur (HG) SWC, HG",-,3216,"15.8720789715, 78.5777955733"
88,"Kurnool Kurnool Dhone SWC, Dhone SWC, Own",-,2100,"15.3925380698, 77.8631298205"
89,"Kurnool Kurnool Kurnool SWC, Kurnool SWC, Own",6000,13700,"15.828106, 78.029891"
90,"Kurnool Kurnool Kurnool SWC, (IG) Kurnool SWC, IG",10000,10000,"15.8192008826, 78.0114489225"
91,"Kurnool Kurnool Nandikotkur CWC, Nandikotkur CWC",-,10000,"15.851198, 78.253195"
92,"Kurnool Kurnool Orvakal SWC, Orvakal (HG) SWC, HG",-,1690,"15.683228, 78.174054"
93,"Kurnool Nandyal Allagadda SWC, Allagadda SWC, Own",-,11400,"15.139753117, 78.5028055994"
94,"Kurnool Nandyal Allagadda SWC, Allagada (AMC) SWC, HG",-,1564,"15.139753117, 78.5028055994"
95,"Kurnool Nandyal Nandyal SWC, (IG) Nandayal SWC, HG",11000,13000,"15.473391, 78.471051"
96,"Kurnool Nandyal Nandyal CWC, Nandyala CWC",25000,43000,"15.4774898204, 78.4869925608"
97,"Nellore Atmakur Atmakur SWC, Atmakur SWC, Own",-,5000,"14.618894, 79.627443"
98,"Nellore Gudur Gudur SWC, Gudur SWC, Own",3000,8000,"14.135144, 79.836092"
99,"Nellore Kavali Bogole SWC, Bogole SWC, Own",9000,18400,"14.712912, 79.940063"
100,"Nellore Kavali Kavali AMC, Kavali AMC",5000,5000,"14.950327, 79.998854"
101,"Nellore Kavali Kavali SWC, Kavali SWC, Own",14000,19400,"14.907299, 79.980902"
102,"Nellore Naidupet Ojili VRR, ALLIPURAM Others",15000,15000,"14.003199, 79.909090"
103,"Nellore Nellore Kodavalur SWC, C S Puram SWC, Own",22000,39000,"14.6050926737, 79.9747542464"
104,"Nellore Nellore Manubolu SWC, Bandepalli(Manubole) SWC, New",-,10000,"14.237476,79.87336"
105,"Nellore Nellore Muthukur MS GODOWN,PANTAPALEM Others",4000,4000,"14.264576, 80.049778"
106,"Nellore Nellore Nellore SWC, Vedayapalem SWC, Own",12000,17000,"14.409167, 79.950833"
107,"Nellore Nellore Nellore CWC, Nellore CWC",40000,48000,"14.479822, 79.989247"
108,"Nellore Nellore Nellore SWC, Nellore SWC, Own",-,3900,"14.265068, 80.047786"
109,"Prakasam Kandukur Kandukur AMC, Kandukur AMC",4000,4000,"15.2162392082, 79.8919926016"
