year,crop,msp_rs_qtl,season,source
2022-23,jowar,2970.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,jowar,3180.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,jowar,3371.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,jowar,3699.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,jowar,4023.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,maize,880.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,maize,980.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,maize,1175.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,maize,1310.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,maize,1310.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,maize,1325.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,maize,1365.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,maize,1425.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,maize,1700.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,maize,1760.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,maize,1850.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,maize,1870.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,maize,1962.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,maize,2090.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,maize,2225.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,maize,2400.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,maize,2410.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,masur,2250.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,masur,2800.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,masur,2900.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,masur,2950.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,masur,3075.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,masur,3400.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,masur,3950.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,masur,4250.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,masur,4475.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,masur,4800.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,masur,5100.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,masur,5500.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,masur,6000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,masur,6425.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,masur,6700.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,masur,7000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,moong,3170.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,moong,3500.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,moong,4400.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,moong,4500.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,moong,4600.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,moong,4850.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,moong,5225.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,moong,5575.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,moong,6975.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,moong,7050.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,moong,7196.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,moong,7275.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,moong,7755.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,moong,8558.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,moong,8682.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,moong,8768.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,moong,8780.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,mustard_seed,1850.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,mustard_seed,2500.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,mustard_seed,3000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,mustard_seed,3050.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,mustard_seed,3100.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,mustard_seed,3350.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,mustard_seed,3700.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,mustard_seed,4000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,mustard_seed,4200.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,mustard_seed,4425.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,mustard_seed,4650.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,mustard_seed,5050.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,mustard_seed,5450.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,mustard_seed,5650.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,mustard_seed,5950.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,mustard_seed,6200.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,paddy,1000.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,paddy,1080.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,paddy,1250.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,paddy,1310.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,paddy,1360.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,paddy,1410.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,paddy,1470.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,paddy,1550.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,paddy,1750.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,paddy,1815.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,paddy,1868.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,paddy,1940.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,paddy,2040.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,paddy,2183.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,paddy,2300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,paddy,2369.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
